pattern;regex->SR (milliseconds);SR->NCA (milliseconds);NCA->DCA (milliseconds);NCA->DCA (milliseconds)-alg;NCA->DCA (milliseconds)-opt;|NCA|;|DCA|;|DCA|-opt;|DCA|-alg;NCA-trans;DCA-trans;DCA-trans-opt;DCA-trans-alg;Counters-NCA;Counters-DCA;Counters-DCA-alg;Timeouts-our;Our exception;Positive-errors;Positive-opt-errors;Lenght string;DCA Matcher - time (milliseconds);DCA Matcher opt - time (milliseconds);regex->NFA (milliseconds);NFA->DFA (milliseconds);DFA->min (milliseconds);|NFA|;|DFA|;|MIN|;DFA-trans;MIN-trans;Timeouts-classical;Classical exception
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x03;0,00288;1,7282;207,62304;112,10746;183,41667;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;31,44444444;0,895722222;0,450966667;0,37624;0,00037;0,22827;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x7D;0,00255;1,57132;251,22455;124,67247;220,32401;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;31,77777778;1,063211111;0,540322222;0,37624;0,00034;0,20215;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x88;0,00245;3,22497;341,55006;173,33026;281,65051;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;35,88888889;1,222666667;0,468766667;0,37624;0,00037;0,16042;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x8B;0,00268;5,15401;345,48885;152,25313;330,14279;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;31,33333333;0,995933333;0,486477778;0,37624;0,0003;0,15021;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x99;0,00237;2,57827;245,22894;112,28795;217,43796;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;31,11111111;0,844944444;0,585611111;0,37624;0,00029;0,12255;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\xcc;0,00246;4,51366;243,10902;126,28519;266,77934;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;32,11111111;1,002577778;0,4852;0,37624;0,00029;0,17662;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\xCC;0,00244;5,23625;292,22936;144,52149;235,92566;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;33;0,847266667;0,4405;0,37624;0,00051;0,17022;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x02I\xF1;0,00329;3,8187;345,43639;164,97835;353,70426;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;32,77777778;0,988777778;0,492944444;0,37624;0,00016;0,15634;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x02\x49\xf1;0,00216;2,85977;271,39455;121,04243;217,24711;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;33,77777778;1,002255556;2,352422222;0,37624;0,00029;0,16021;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x03\x0Dp;0,00236;1,38735;205,96125;114,85569;270,88377;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;32,44444444;1,087222222;0,531755556;0,37624;0,00021;0,18464;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x03\x0D\x70;0,00213;0,96945;143,83398;67,72892;107,20085;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;32,55555556;0,932244444;0,680777778;0,37624;0,00029;0,20484;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7h;0,00188;1,11093;245,08764;76,34288;140,0923;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;32,11111111;0,878588889;0,4274;0,37624;0,00032;0,19361;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7u;0,00273;1,98575;253,90198;100,86623;204,07051;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;34,11111111;1,1094;0,521855556;0,37624;0,00055;0,22842;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7\x68;0,00207;1,25446;197,70597;72,10562;135,55716;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;31,66666667;0,904033333;0,430455556;0,37624;0,00054;0,24595;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7\x75;0,00212;0,98116;173,47056;69,72332;138,23976;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;33,66666667;0,908377778;1,177833333;0,37624;0,00024;0,19496;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x04;0,00189;0,40652;74,79321;44,24726;62,16858;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,33333333;1,036933333;0,562944444;0,37624;0,0005;0,21418;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x05;0,00174;0,38297;76,74506;45,47084;59,60222;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;26,33333333;0,760255556;0,437477778;0,37624;0,00028;0,16916;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA0\x00.{3}\x00\x00\x00\x05;0,00199;0,86086;85,4004;47,41163;62,47256;10;151;151;151;12;1066;1057;1066;2;2;2;;;0;10;28;0,808855556;1,384966667;0,37624;0,00032;0,15545;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA2.{4}\x00\x00\x00\x02;0,00189;0,93382;76,16;42,98127;63,16211;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;26,88888889;0,446144444;0,268733333;0,37624;0,00038;0,22621;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA4.{4}\x00\x00\x00\x0B;0,00184;0,63161;81,18979;42,59035;66,45641;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,22222222;1,027544444;0,275866667;0,37624;0,00028;0,13328;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x01;0,00202;0,40499;61,31219;42,02753;54,91345;9;143;143;143;11;984;968;984;2;2;2;;;0;10;27,55555556;0,687344444;0,442377778;0,37624;0,0002;0,20163;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x02;0,00193;1,27809;117,0054;68,97577;85,72213;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;25,77777778;0,527111111;0,334255556;0,37624;0,00024;0,16318;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x03;0,00222;1,29468;114,91308;64,75914;96,03358;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;26,77777778;0,727933333;0,456688889;0,37624;0,0002;0,16992;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x04;0,00213;0,80567;126,11174;63,27091;89,16804;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;29,11111111;0,698433333;0,433477778;0,37624;0,00043;0,22612;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x05;0,00175;0,89107;71,59977;43,87312;63,4445;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;30;0,500366667;0,274688889;0,37624;0,00037;0,1847;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5.{4}\x00\x00\x00\x06;0,0018;0,67154;82,6084;47,46859;62,31403;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;27,77777778;0,834655556;0,5668;0,37624;0,00028;0,16538;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA5\x00.{3}\x00\x00\x00\x01;0,00184;0,55968;63,66072;47,39806;51,48203;10;151;151;151;12;1030;1021;1030;2;2;2;;;0;10;31,22222222;0,457033333;0,290866667;0,37624;0,00056;0,26698;24;24;24;24;24;;
^.{11}\x00\x01\x86\xA9.{4}\x00\x00\x00\x01;0,00194;0,49894;62,89881;44,83879;56,83108;9;143;143;143;11;984;968;984;2;2;2;;;0;10;27,88888889;0,598288889;0,960188889;0,37624;0,00033;0,24166;24;24;24;24;24;;
^.{11}\x00\x01\x86\xAB.{4}\x00\x00\x00\x01;0,00179;0,39862;62,2384;41,7416;58,04473;9;143;143;143;11;984;968;984;2;2;2;;;0;10;29,55555556;0,941188889;1,438477778;0,37624;0,00056;0,1451;24;24;24;24;24;;
^.{11}\x00\x01\x86\xB8.{4}\x00\x00\x00\x01;0,00184;0,39761;56,46073;45,44784;55,30587;9;143;143;143;11;984;968;984;2;2;2;;;0;10;28,66666667;1,169533333;0,440466667;0,37624;0,00046;0,28261;24;24;24;24;24;;
^.{11}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02;0,00199;0,47012;78,22957;45,39017;67,35022;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,88888889;0,563;0,341722222;0,37624;0,0004;0,23839;24;24;24;24;24;;
^.{11}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02.{0,251}%x %x;0,00231;11,41384;865,83551;334,81186;535,32599;14;367;359;359;17;4703;4516;4551;3;3;3;;;0;0;35,55555556;2,172722222;0,890144444;0,37624;52,82796;31,97993;281;2514;1277;7705;3271;;
^.{11}\x00\x01\x86\xBC.{4}\x00\x00\x00\x01.{4}.*\|;0,00184;2,36342;649,62675;520,91447;463,66726;11;431;431;431;16;5838;5823;5838;3;3;3;;;0;0;35,22222222;2,377155556;1,747;0,37624;0,23397;0,544;30;30;29;32;30;;
^.{11}\x00\x01\x86\xBC.{4}\x00\x00\x00\x01.{4}.*\x7C;0,00208;3,09088;698,33864;574,23406;549,07316;11;431;431;431;16;5838;5823;5838;3;3;3;;;0;0;37;3,927955556;1,720555556;0,37624;0,16347;0,11913;30;30;29;32;30;;
^.{11}\x00\x01\x86\xE4.{4}\x00\x00\x00\x06;0,00217;0,57181;75,00478;40,74472;66,00016;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;27,55555556;0,720677778;0,749922222;0,37624;0,00032;0,19337;24;24;24;24;24;;
^.{11}\x00\x01\x86\xE4.{4}\x00\x00\x00\x15;0,00235;0,48701;74,58486;46,53065;68,04788;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,33333333;1,245833333;0,660644444;0,37624;0,00037;1,14552;24;24;24;24;24;;
^.{11}\x00\x01\x86\xF3.{4}\x00\x00\x00\x07;0,0019;0,92588;75,57067;43,48843;59,01255;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;27,88888889;0,776933333;0,481911111;0,37624;0,00041;0,22858;24;24;24;24;24;;
^.{11}\x00\x01\x87\x88.{4}\x00\x00\x00\x00;0,00203;0,54991;78,60917;53,99414;66,7908;9;143;143;143;11;956;934;956;2;2;2;;;0;10;28,11111111;0,397388889;0,2421;0,37624;0,00024;0,12257;24;24;24;24;24;;
^.{11}\x00\x01\x87\x88.{4}\x00\x00\x00\x01;0,00235;0,53928;86,32229;71,77145;78,61556;9;143;143;143;11;984;968;984;2;2;2;;;0;10;28;0,840588889;0,590733333;0,37624;0,00051;0,26246;24;24;24;24;24;;
^.{11}\x00\x01\x87\x88.{4}\x00\x00\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00;0,00185;4,49689;489,29517;309,82362;331,45077;17;863;863;863;19;6266;6202;6266;2;2;2;;;0;10;36,77777778;0,831922222;0,428544444;0,37624;0,00038;0,27137;32;32;32;32;32;;
^.{11}\x00\x01\x87\x99.{4}\x00\x00\x01\x01;0,00193;0,4784;41,48308;31,00149;38,63073;9;95;95;95;11;656;641;656;2;2;2;;;0;10;28,88888889;0,698177778;1,348744444;0,37624;0,0002;0,12348;24;24;24;24;24;;
^.{11}\x00\x03\x0Dp.{4}\x00\x00\x00\x01;0,00184;0,89255;76,81066;47,07919;65,55686;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28;0,905677778;0,573566667;0,37624;0,00033;0,13025;24;24;24;24;24;;
^.{11}\x00\x03\x0D\x70.{4}\x00\x00\x00\x01;0,0018;0,49913;72,28113;44,92483;67,2226;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,11111111;0,870077778;0,5176;0,37624;0,00024;0,17122;24;24;24;24;24;;
^.{11}\x00\x04\x93\xF3.{4}\x00\x00\x00\x07;0,00166;0,38339;69,46773;46,45333;69,97966;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,77777778;0,384777778;0,215244444;0,37624;0,00037;0,24306;24;24;24;24;24;;
^.{11}\x00\x04\x93\xF3.{4}\x00\x00\x00\x08;0,00169;0,45182;71,1723;48,32805;62,85654;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;27,44444444;0,829333333;0,601555556;0,37624;0,00033;0,17588;24;24;24;24;24;;
^.{11}\x00\x04\x93\xF3.{4}\x00\x00\x00\x09;0,00175;0,48941;76,43251;43,15589;71,38359;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;29,22222222;0,877177778;0,452688889;0,37624;0,00033;0,19118;24;24;24;24;24;;
^.{11}\x00\x05\xF7h.{4}\x00\x00\x00\x0D;0,00222;0,8594;121,32061;60,28456;93,39675;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;24,66666667;0,599911111;0,372455556;0,37624;0,00033;0,1979;24;24;24;24;24;;
^.{11}\x00\x05\xF7\x68.{4}\x00\x00\x00\x0D;0,00258;0,60355;103,34785;68,32079;90,99976;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;28,77777778;1,342766667;0,965611111;0,37624;0,00037;0,17676;24;24;24;24;24;;
^.{11}.*\x04[bB][iI][nN][dD];0,00208;0,65442;9,68381;8,8572;9,7588;7;21;21;21;10;86;86;86;1;1;1;;;0;10;26,11111111;0,602111111;0,331966667;0,37624;0,19958;0,12095;18;22;17;44;26;;
^.{11}.*\x07[aA][uU][tT][hH][oO][rR][sS];0,00236;2,25863;23,6085;11,0976;30,19212;10;33;33;33;13;140;140;140;1;1;1;;;0;10;27,44444444;0,785533333;0,288144444;0,37624;0,31923;0,16264;21;28;20;65;35;;
^.{11}.*\x07[vV][eE][rR][sS][iI][oO][nN];0,00311;1,39286;22,67863;9,36799;19,91515;10;33;33;33;13;140;140;140;1;1;1;;;0;10;29,22222222;0,723477778;0,301677778;0,37624;0,42037;0,16708;21;28;20;65;35;;
^.{13}.*\x00\x00\xFC;0,0026;0,32184;4,33919;5,09804;6,73937;5;13;13;13;8;44;44;44;1;1;1;;;0;10;23,66666667;0,292144444;0,212577778;0,37624;0,25426;0,11551;18;20;17;30;21;;
^.{14}.*\x00\x00\xFC;0,00208;0,29143;4,05964;3,09728;3,30293;5;13;13;13;8;44;44;44;1;1;1;;;0;10;28,22222222;0,429666667;0,290288889;0,37624;0,24603;0,1637;19;21;18;31;22;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x01;0,00176;0,45512;55,7126;40,16978;65,48385;9;143;143;143;11;984;968;984;2;2;2;;;0;10;32,33333333;0,877477778;0,611466667;0,37624;0,00033;0,14808;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x02;0,00178;0,91162;75,62254;44,22044;65,78925;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,44444444;1,304577778;0,614555556;0,37624;0,00028;0,21577;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA1;0,00184;0,83073;155,16659;75,40298;99,82193;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,22222222;0,944777778;0,556155556;0,37624;0,00038;0,39564;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA2;0,00193;1,47083;142,67087;86,78249;112,30989;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;33,33333333;0,856022222;0,580055556;0,37624;0,00042;0,31751;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA3;0,00184;0,92033;155,33351;75,66723;112,57083;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;38,33333333;1,164911111;0,733788889;0,37624;0,00034;0,20652;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA4;0,00185;0,82929;145,26062;76,68838;108,48875;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;36;0,976744444;0,593377778;0,37624;0,0002;0,15356;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA5;0,00212;1,25124;188,47166;107,06238;127,33063;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,55555556;1,255055556;0,666311111;0,37624;0,0002;0,11877;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA8;0,00235;2,60313;216,98441;113,38921;157,70533;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;34,55555556;0,478611111;0,3023;0,37624;0,0002;0,15208;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA9;0,00225;0,92361;158,91464;88,76418;98,34172;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;34,44444444;1,949044444;0,559788889;0,37624;0,00055;0,39882;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xAB;0,00194;0,83189;143,72075;77,89913;109,57288;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,66666667;0,5672;0,302944444;0,37624;0,00056;0,38734;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xAF;0,00264;0,92965;143,8748;73,25763;106,9527;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,33333333;1,404766667;0,688922222;0,37624;0,00034;0,2449;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB1;0,0017;0,76816;149,58406;76,0628;103,35872;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;38,44444444;0,869288889;0,522633333;0,37624;0,00038;0,22541;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB5;0,00562;0,94721;141,70905;73,67852;107,43208;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,11111111;0,816177778;0,499755556;0,37624;0,0002;0,13187;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB8;0,00213;1,18802;188,37346;85,90028;134,29567;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,44444444;0,5888;0,327966667;0,37624;0,00037;0,223;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xBA;0,00255;1,48525;218,32959;116,88392;162,35554;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;36,77777778;0,958888889;0,565855556;0,37624;0,0002;0,19491;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xBC;0,00202;1,0415;149,85345;78,20979;110,34632;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,55555556;1,896088889;0,601611111;0,37624;0,00057;0,225;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xE4;0,00408;1,38306;141,46301;72,64622;104,82063;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;36,66666667;0,569377778;0,344933333;0,37624;0,00041;0,20894;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xF3;0,00343;0,97044;143,13794;76,25339;107,2403;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;36,55555556;1,004288889;1,117777778;0,37624;0,0002;0,17074;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xF7;0,00161;0,81131;150,08696;79,84221;106,0171;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;36,22222222;0,994777778;0,717911111;0,37624;0,00037;0,15726;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\};0,00549;0,9278;162,29103;74,3768;113,35454;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;35;0,6535;0,368244444;0,37624;0,00045;0,17148;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x03;0,00198;1,16903;167,85968;78,10672;130,9569;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;37;0,976088889;0,567733333;0,37624;0,00037;0,22648;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x7D;0,00246;1,33597;244,13129;124,44554;174,26436;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;35,22222222;1,103477778;0,641277778;0,37624;0,00032;0,21119;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x88;0,00174;1,05318;161,15154;75,5033;122,78374;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;38,66666667;0,981833333;0,586322222;0,37624;0,00032;0,19457;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x8B;0,00198;1,02311;157,53939;81,66452;124,7041;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;34,55555556;1,0129;0,575622222;0,37624;0,00034;0,16818;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\x99;0,00171;1,58145;168,10949;77,83261;118,89911;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;37;1,215522222;0,555166667;0,37624;0,00028;0,17568;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\xcc;0,00223;1,25436;160,61497;76,41066;114,25158;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;36,55555556;1,182455556;0,788166667;0,37624;0,00042;0,21561;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\xCC;0,00179;0,95037;166,27017;74,22234;117,22485;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;34,77777778;0,5917;0,324644444;0,37624;0,00028;0,16191;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x02I\xF1;0,00237;2,64667;238,65846;119,20589;195,51284;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;37;1,217477778;0,700722222;0,37624;0,00032;0,22528;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x02\x49\xf1;0,00211;1,47935;232,3502;94,63112;156,44457;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;33,66666667;1,238788889;0,606333333;0,37624;0,00033;0,2185;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x03\x0Dp;0,0017;0,99762;163,72431;70,32466;116,89139;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;36,22222222;0,999822222;0,575544444;0,37624;0,00065;0,23167;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x03\x0D\x70;0,00179;0,96965;159,68253;83,28906;114,97765;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;36,44444444;1,961333333;0,592244444;0,37624;0,00024;0,15486;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7h;0,00214;2,02828;177,71454;66,60149;130,57418;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;34,66666667;2,499177778;1,686611111;0,37624;0,00033;0,19794;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7u;0,00213;1,11688;181,10218;84,19284;123,81531;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;36,66666667;1,239811111;0,590055556;0,37624;0,00033;0,15138;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7\x68;0,00231;1,63415;203,75203;92,55712;171,99809;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;36,22222222;1,074966667;0,575011111;0,37624;0,00024;0,21893;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x05\xF7\x75;0,00245;2,59662;254,27793;108,9165;199,21604;13;199;199;199;15;1517;1485;1517;2;2;2;;;0;10;34,88888889;1,038422222;0,530811111;0,37624;0,00032;0,25085;32;32;32;32;32;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x04;0,00188;0,46741;72,44259;47,00635;63,17876;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;34,77777778;0,458955556;0,293122222;0,37624;0,00028;0,19453;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA0.{4}\x00\x00\x00\x05;0,00203;0,49042;75,60444;44,92962;62,8648;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,22222222;0,681588889;0,472511111;0,37624;0,00033;0,243;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA0\x00.{3}\x00\x00\x00\x05;0,00225;0,54058;87,17378;42,43153;61,78981;10;151;151;151;12;1066;1057;1066;2;2;2;;;0;10;31,11111111;0,905788889;0,589577778;0,37624;0,00032;0,21487;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA4.{4}\x00\x00\x00\x0B;0,00189;0,5216;77,67109;48,27364;66,13651;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32;1,172633333;0,580355556;0,37624;0,0002;0,12228;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA5.{4}\x00\x00\x00\x01;0,00169;0,39065;63,00891;42,59971;56,39747;9;143;143;143;11;984;968;984;2;2;2;;;0;10;32,88888889;1,436944444;0,639811111;0,37624;0,0002;0,14867;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA5.{4}\x00\x00\x00\x02;0,00194;0,48485;75,18205;54,36322;71,28671;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,44444444;1,139155556;0,603977778;0,37624;0,00012;0,2283;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA5.{4}\x00\x00\x00\x03;0,00199;0,52381;74,14859;40,50884;65,14536;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,44444444;1,014077778;0,602166667;0,37624;0,00028;0,15124;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA5.{4}\x00\x00\x00\x04;0,00194;0,63289;78,55026;41,00797;61,76635;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,44444444;0,910966667;0,619044444;0,37624;0,00046;0,17647;28;28;28;28;28;;
^.{15}\x00\x01\x86\xA5.{4}\x00\x00\x00\x05;0,00355;0,49927;84,98992;42,3068;60,21308;9;143;143;143;11;1020;996;1020;2;2;2;;;0;10;32,44444444;0,972444444;0,609077778;0,37624;0,00024;0,22001;28;28;28;28;28;;
