pattern;regex->SR (milliseconds);SR->NCA (milliseconds);NCA->DCA (milliseconds);NCA->DCA (milliseconds)-alg;NCA->DCA (milliseconds)-opt;|NCA|;|DCA|;|DCA|-opt;|DCA|-alg;NCA-trans;DCA-trans;DCA-trans-opt;DCA-trans-alg;Counters-NCA;Counters-DCA;Counters-DCA-alg;Timeouts-our;Our exception;Positive-errors;Positive-opt-errors;Lenght string;DCA Matcher - time (milliseconds);DCA Matcher opt - time (milliseconds);regex->NFA (milliseconds);NFA->DFA (milliseconds);DFA->min (milliseconds);|NFA|;|DFA|;|MIN|;DFA-trans;MIN-trans;Timeouts-classical;Classical exception
^\x05\x00.{5}\x12\x02.*.*\x05\x00.{5}n\x00;0,00258;1,3648;38,80538;21,78111;23,74929;10;39;39;39;15;274;272;274;2;2;2;;;0;10;34,11111111;0,674811111;0,187044444;8,1943;136923,0045;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x05\x00.{5}\xDE\x03;0,00305;0,38264;7,6182;7,15772;5,37878;5;12;12;12;7;53;53;53;1;1;1;;;0;0;17,33333333;0,149133333;0,135244444;107475,1902;;;;;;;;1;The function has taken longer than the maximum time allowed.
^\x05\x00\x0B.{29}\x98\xD0\xFFk\x12\xA1\x106\x983F\xC3\xF8~4Z;0,00274;10,369;65,12992;19,2807;77,74524;20;70;70;70;21;236;236;236;1;1;1;;;0;0;52;3,792811111;1,349411111;26,6991;0,0004;29,9427;49;49;49;49;49;1;The function has taken longer than the maximum time allowed.
^\x05.*.*\x3B[^\x3B]{512};0,00259;0,29773;1,39688;0,88581;1,72798;5;6;6;6;9;12;12;12;1;1;1;;;0;10;531,1111111;9,634477778;7,944088889;;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a.{3,50}\x4f\x70\x65\x72\x61\x2f.*;0,00217;9,88582;74,73594;26,97013;65,68951;19;68;68;68;21;361;361;361;1;1;1;;;0;0;32,88888889;0,739966667;0,371255556;15,4766;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,70}rv\x3a[0-2]\x2e[0-9].{0,30}Gecko\x2f.*;0,00189;17,8797;519,8755;105,09742;342,94005;26;192;192;192;29;1833;1833;1833;2;2;2;;;0;0;54,33333333;5,507144444;1,508188889;;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,70}rv\x3a[0-2]\x2e[0-9].{0,30}Gecko\x2f(2000|2001|2002).*;0,00217;23,01359;759,20961;169,11218;556,75915;36;224;224;224;41;2145;2134;2145;2;2;2;;;0;0;54,11111111;6,063188889;1,478377778;119188,374;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,90}Netscape\x2f[4-7].*;0,00269;6,61197;119,26073;18,38988;73,57589;24;88;88;88;26;471;471;471;1;1;1;;;0;0;45,22222222;1,134755556;0,4878;224,855;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,90}Netscape\x2f4\x2e[0-9].*;0,00241;13,67314;108,05737;18,78245;90,83634;26;96;96;96;28;515;515;515;1;1;1;;;0;0;42,88888889;1,159211111;0,390844444;156196,2301;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,90}Netscape\x2f7.*;0,00213;7,49236;91,8497;17,95373;73,03133;24;88;88;88;26;471;471;471;1;1;1;;;0;0;44,22222222;3,287977778;1,631644444;30,4727;245934,0735;412405,0189;117;1544;798;5005;2238;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{10,90}Netscape\x2f8\x2e[0-9].*;0,00208;13,73967;112,14604;22,04013;89,54764;26;96;96;96;28;515;515;515;1;1;1;;;0;0;48,55555556;3,674422222;1,422544444;0,2806;233,6852;658,2735;119;1784;941;5822;2661;1;The function has taken longer than the maximum time allowed.
^.*\x0a\x55\x73\x65\x72\x2d\x41\x67\x65\x6e\x74\x3a\x20.{5,30}MSIE\x20[1-9]*.;0,00226;8,79898;72,50706;15,08799;51,30308;20;72;72;72;23;386;386;386;1;1;1;;;0;0;42,33333333;1,456666667;0,4176;136337,3714;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.*\x0d[lL][oO][cC][aA][tT][iI][oO][nN]\x3a[^\x0a]{128};0,00213;2,10262;23,70105;9,87968;28,35236;12;40;40;40;14;208;208;208;1;1;1;;;0;0;148;4,931833333;2,017377778;22,9711;;;;;;;;1;The function has taken longer than the maximum time allowed.
^\x80\x02.{4}.*\x02;0,0014;0,12241;0,64156;0,71712;1,01902;5;7;7;7;8;16;16;16;1;1;1;;;0;0;18,55555556;0,114822222;0,130322222;231,8896;129023,6597;9,0233;9;9;8;11;9;1;The function has taken longer than the maximum time allowed.
^\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff.{2}\x00;0,00207;0,75986;0,80618;1,34818;0,88436;18;19;19;19;19;22;22;22;1;1;1;;;0;0;25,77777778;0,146488889;0,220733333;61061,5757;0,00155;66686,2936;20;20;20;20;20;1;The function has taken longer than the maximum time allowed.
^\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF\xFF.{2}\x00;0,0017;1,18183;0,60493;0,94514;0,65125;18;19;19;19;19;22;22;22;1;1;1;;;0;0;26,11111111;0,126466667;0,182777778;18,2258;0,0004;131756,2193;20;20;20;20;20;1;The function has taken longer than the maximum time allowed.
^.*[xX][tT][nN][dD][^\x0a]{50};0,00184;0,23681;4,21025;3,53615;5,13661;6;16;16;16;8;76;76;76;1;1;1;;;0;0;63,33333333;1,127966667;4,013844444;119818,7929;;;;;;;;1;The function has taken longer than the maximum time allowed.
^.* [zZ][iI][pP][cC][hH][kK] [^\x0a]{100};0,00193;0,62965;13,85507;7,28356;15,1115;10;32;32;32;12;160;160;160;1;1;1;;;0;0;116,1111111;3,066322222;1,662022222;142299,4788;;;;;;;;1;The function has taken longer than the maximum time allowed.
